feature_id,date,water_median,wet_median,pv_median,npv_median,bs_median,count
r1wjpxg6j,2002-03-01,0.3854,0.0158,0.0363,0.4861,0.0715,31
r1wjpxg6j,2002-04-01,0.1756,0.0075,0.0487,0.6393,0.1212,30
r1wjpxg6j,2002-05-01,0.0007,0.0028,0.057,0.7808,0.1467,31
r1wjpxg6j,2002-06-01,0.0015,0.0111,0.0525,0.8628,0.0672,30
r1wjpxg6j,2002-07-01,0.0017,0.0071,0.0496,0.8175,0.1174,31
r1wjpxg6j,2002-08-01,0.0014,0.0005,0.0367,0.7327,0.2221,31
r1wjpxg6j,2002-09-01,0.0012,0.001,0.0278,0.7325,0.229,30
r1wjpxg6j,2002-10-01,0.0001,0.0011,0.0277,0.707,0.2548,31
r1wjpxg6j,2002-11-01,0.0001,0.0007,0.0267,0.6152,0.347,30
r1wjpxg6j,2002-12-01,0.0001,0.0004,0.0257,0.5351,0.428,31
r1wjpxg6j,2003-01-01,0.0006,0.0029,0.0261,0.5569,0.4034,31
r1wjpxg6j,2003-02-01,0.0016,0.0105,0.0299,0.6968,0.2548,28
r1wjpxg6j,2003-03-01,0.0004,0.0052,0.0305,0.5594,0.3962,31
r1wjpxg6j,2003-04-01,0.0001,0.0067,0.0425,0.7238,0.2189,30
r1wjpxg6j,2003-05-01,0.0011,0.006,0.0518,0.6165,0.3151,31
r1wjpxg6j,2003-06-01,0.0164,0.0211,0.0754,0.5753,0.3024,30
r1wjpxg6j,2003-07-01,0.0439,0.0499,0.1112,0.6238,0.1637,31
r1wjpxg6j,2003-08-01,0.0443,0.0504,0.1313,0.6927,0.0752,31
r1wjpxg6j,2003-09-01,0.0117,0.0163,0.1315,0.781,0.0542,30
r1wjpxg6j,2003-10-01,0.0,0.0001,0.0918,0.6391,0.259,31
r1wjpxg6j,2003-11-01,0.0,0.0002,0.079,0.6153,0.2959,30
r1wjpxg6j,2003-12-01,0.0,0.0003,0.0662,0.5915,0.3328,31
r1wjpxg6j,2004-01-01,0.0,0.0004,0.0565,0.5673,0.3702,31
r1wjpxg6j,2004-02-01,0.0,0.0,0.0656,0.5286,0.3943,29
r1wjpxg6j,2004-03-01,0.0,0.0001,0.0736,0.4235,0.4905,31
r1wjpxg6j,2004-04-01,0.0,0.0,0.0716,0.5036,0.4133,30
r1wjpxg6j,2004-05-01,0.0,0.0,0.073,0.4825,0.4326,31
r1wjpxg6j,2004-06-01,0.0,0.0,0.0749,0.5393,0.3741,30
r1wjpxg6j,2004-07-01,0.0001,0.0,0.1062,0.6433,0.2323,31
r1wjpxg6j,2004-08-01,0.0,0.0,0.0934,0.476,0.4186,31
r1wjpxg6j,2004-09-01,0.0,0.0,0.0926,0.4233,0.4723,30
r1wjpxg6j,2004-10-01,0.0,0.0,0.1078,0.5111,0.3696,31
r1wjpxg6j,2004-11-01,0.0,0.0001,0.1073,0.62,0.2629,30
r1wjpxg6j,2004-12-01,0.0,0.0002,0.1063,0.7039,0.1821,31
r1wjpxg6j,2005-01-01,0.0,0.0001,0.0851,0.6226,0.2811,31
r1wjpxg6j,2005-02-01,0.0,0.0006,0.0875,0.7209,0.1837,28
